LECROYWS3024,16952,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,13-Mar-2020 17:25:28,0                 
Time,Ampl
-0.0084019911,-0.166667
-0.0083999911,-0.166667
-0.0083979911,-0.166667
-0.0083959911,0.166667
-0.0083939911,-0.166667
-0.0083919911,-0.166667
-0.0083899911,-0.166667
-0.0083879911,-0.166667
-0.0083859911,-0.166667
-0.0083839911,-0.166667
-0.0083819911,-0.166667
-0.0083799911,-0.166667
-0.0083779911,-0.166667
-0.0083759911,-0.166667
-0.0083739911,-0.166667
-0.0083719911,-0.166667
-0.0083699911,0.166667
-0.0083679911,-0.166667
-0.0083659911,-0.166667
-0.0083639911,-0.166667
-0.0083619911,-0.166667
-0.0083599911,-0.166667
-0.0083579911,-0.166667
-0.0083559911,-0.166667
-0.0083539911,-0.166667
-0.0083519911,-0.166667
-0.0083499911,-0.166667
-0.0083479911,0.166667
-0.0083459911,-0.166667
-0.0083439911,-0.166667
-0.0083419911,-0.166667
-0.0083399911,-0.166667
-0.0083379911,-0.166667
-0.0083359911,-0.166667
-0.0083339911,-0.166667
-0.0083319911,-0.166667
-0.0083299911,-0.166667
-0.0083279911,-0.166667
-0.0083259911,-0.166667
-0.0083239911,-0.166667
-0.0083219911,-0.166667
-0.0083199911,-0.166667
-0.0083179911,-0.166667
-0.0083159911,0.166667
-0.0083139911,-0.166667
-0.0083119911,-0.166667
-0.0083099911,-0.166667
-0.0083079911,-0.166667
-0.0083059911,-0.166667
-0.0083039911,-0.166667
-0.0083019911,-0.166667
-0.0082999911,-0.166667
-0.0082979911,-0.166667
-0.0082959911,-0.166667
-0.0082939911,-0.166667
-0.0082919911,-0.166667
-0.0082899911,-0.166667
-0.0082879911,-0.166667
-0.0082859911,-0.166667
-0.0082839911,0.166667
-0.0082819911,0.166667
-0.0082799911,-0.166667
-0.0082779911,-0.166667
-0.0082759911,-0.166667
-0.0082739911,-0.166667
-0.0082719911,-0.166667
-0.0082699911,-0.166667
-0.0082679911,-0.166667
-0.0082659911,-0.166667
-0.0082639911,-0.166667
-0.0082619911,-0.166667
-0.0082599911,-0.166667
-0.0082579911,-0.166667
-0.0082559911,-0.166667
-0.0082539911,-0.166667
-0.0082519911,-0.166667
-0.0082499911,-0.166667
-0.0082479911,-0.166667
-0.0082459911,-0.166667
-0.0082439911,-0.166667
-0.0082419911,-0.166667
-0.0082399911,-0.166667
-0.0082379911,-0.166667
-0.0082359911,-0.166667
-0.0082339911,-0.166667
-0.0082319911,-0.166667
-0.0082299911,-0.166667
-0.0082279911,-0.166667
-0.0082259911,-0.166667
-0.0082239911,-0.166667
-0.0082219911,-0.166667
-0.0082199911,-0.166667
-0.0082179911,-0.166667
-0.0082159911,-0.166667
-0.0082139911,-0.166667
-0.0082119911,-0.166667
-0.0082099911,-0.166667
-0.0082079911,-0.166667
-0.0082059911,-0.166667
-0.0082039911,-0.166667
-0.0082019911,-0.166667
-0.0081999911,-0.166667
-0.0081979911,0.166667
-0.0081959911,-0.166667
-0.0081939911,-0.166667
-0.0081919911,-0.166667
-0.0081899911,-0.166667
-0.0081879911,-0.166667
-0.0081859911,-0.166667
-0.0081839911,-0.166667
-0.0081819911,-0.166667
-0.0081799911,-0.166667
-0.0081779911,-0.166667
-0.0081759911,-0.166667
-0.0081739911,-0.166667
-0.0081719911,-0.166667
-0.0081699911,-0.166667
-0.0081679911,-0.166667
-0.0081659911,-0.166667
-0.0081639911,-0.166667
-0.0081619911,-0.166667
-0.0081599911,-0.166667
-0.0081579911,-0.166667
-0.0081559911,-0.166667
-0.0081539911,-0.166667
-0.0081519911,-0.166667
-0.0081499911,-0.166667
-0.0081479911,-0.166667
-0.0081459911,-0.166667
-0.0081439911,-0.166667
-0.0081419911,-0.166667
-0.0081399911,-0.166667
-0.0081379911,-0.166667
-0.0081359911,-0.166667
-0.0081339911,-0.166667
-0.0081319911,-0.166667
-0.0081299911,-0.166667
-0.0081279911,-0.166667
-0.0081259911,-0.166667
-0.0081239911,-0.166667
-0.0081219911,-0.166667
-0.0081199911,-0.166667
-0.0081179911,-0.166667
-0.0081159911,-0.166667
-0.0081139911,-0.166667
-0.0081119911,-0.166667
-0.0081099911,-0.166667
-0.0081079911,-0.166667
-0.0081059911,-0.166667
-0.0081039911,-0.166667
-0.0081019911,-0.166667
-0.0080999911,-0.166667
-0.0080979911,-0.166667
-0.0080959911,-0.166667
-0.0080939911,-0.166667
-0.0080919911,-0.166667
-0.0080899911,-0.166667
-0.0080879911,-0.166667
-0.0080859911,-0.166667
-0.0080839911,-0.166667
-0.0080819911,-0.166667
-0.0080799911,-0.166667
-0.0080779911,-0.166667
-0.0080759911,-0.166667
-0.0080739911,-0.166667
-0.0080719911,-0.166667
-0.0080699911,-0.166667
-0.0080679911,-0.166667
-0.0080659911,-0.166667
-0.0080639911,-0.166667
-0.0080619911,-0.166667
-0.0080599911,-0.166667
-0.0080579911,-0.166667
-0.0080559911,-0.166667
-0.0080539911,-0.166667
-0.0080519911,-0.166667
-0.0080499911,-0.166667
-0.0080479911,-0.166667
-0.0080459911,-0.166667
-0.0080439911,-0.166667
-0.0080419911,-0.166667
-0.0080399911,-0.166667
-0.0080379911,-0.166667
-0.0080359911,-0.166667
-0.0080339911,-0.166667
-0.0080319911,-0.166667
-0.0080299911,-0.166667
-0.0080279911,-0.166667
-0.0080259911,-0.166667
-0.0080239911,-0.166667
-0.0080219911,-0.166667
-0.0080199911,-0.166667
-0.0080179911,-0.166667
-0.0080159911,0.166667
-0.0080139911,-0.166667
-0.0080119911,-0.166667
-0.0080099911,-0.166667
-0.0080079911,-0.166667
-0.0080059911,0.166667
-0.0080039911,-0.166667
-0.0080019911,-0.166667
-0.0079999911,-0.166667
-0.0079979911,-0.166667
-0.0079959911,-0.166667
-0.0079939911,-0.166667
-0.0079919911,-0.166667
-0.0079899911,-0.166667
-0.0079879911,-0.166667
-0.0079859911,-0.166667
-0.0079839911,-0.166667
-0.0079819911,-0.166667
-0.0079799911,-0.166667
-0.0079779911,-0.166667
-0.0079759911,-0.166667
-0.0079739911,-0.166667
-0.0079719911,-0.166667
-0.0079699911,-0.166667
-0.0079679911,-0.166667
-0.0079659911,0.166667
-0.0079639911,-0.166667
-0.0079619911,-0.166667
-0.0079599911,-0.166667
-0.0079579911,-0.166667
-0.0079559911,-0.166667
-0.0079539911,-0.166667
-0.0079519911,-0.166667
-0.0079499911,-0.166667
-0.0079479911,-0.166667
-0.0079459911,-0.166667
-0.0079439911,-0.166667
-0.0079419911,-0.166667
-0.0079399911,-0.166667
-0.0079379911,-0.166667
-0.0079359911,-0.166667
-0.0079339911,-0.166667
-0.0079319911,-0.166667
-0.0079299911,-0.166667
-0.0079279911,-0.166667
-0.0079259911,-0.166667
-0.0079239911,-0.166667
-0.0079219911,-0.166667
-0.0079199911,-0.166667
-0.0079179911,-0.166667
-0.0079159911,-0.166667
-0.0079139911,-0.166667
-0.0079119911,-0.166667
-0.0079099911,-0.166667
-0.0079079911,-0.166667
-0.0079059911,-0.166667
-0.0079039911,-0.166667
-0.0079019911,-0.166667
-0.0078999911,-0.166667
-0.0078979911,-0.166667
-0.0078959911,-0.166667
-0.0078939911,-0.166667
-0.0078919911,-0.166667
-0.0078899911,-0.166667
-0.0078879911,-0.166667
-0.0078859911,-0.166667
-0.0078839911,-0.166667
-0.0078819911,-0.166667
-0.0078799911,-0.166667
-0.0078779911,-0.166667
-0.0078759911,-0.166667
-0.0078739911,-0.166667
-0.0078719911,-0.166667
-0.0078699911,-0.166667
-0.0078679911,-0.166667
-0.0078659911,-0.166667
-0.0078639911,-0.166667
-0.0078619911,-0.166667
-0.0078599911,-0.166667
-0.0078579911,-0.166667
-0.0078559911,-0.166667
-0.0078539911,-0.166667
-0.0078519911,0.166667
-0.0078499911,-0.166667
-0.0078479911,-0.166667
-0.0078459911,0.166667
-0.0078439911,-0.166667
-0.0078419911,-0.166667
-0.0078399911,-0.166667
-0.0078379911,-0.166667
-0.0078359911,-0.166667
-0.0078339911,-0.166667
-0.0078319911,-0.166667
-0.0078299911,-0.166667
-0.0078279911,-0.166667
-0.0078259911,-0.166667
-0.0078239911,-0.166667
-0.0078219911,-0.166667
-0.0078199911,-0.166667
-0.0078179911,-0.166667
-0.0078159911,-0.166667
-0.0078139911,-0.166667
-0.0078119911,-0.166667
-0.0078099911,0.166667
-0.0078079911,-0.166667
-0.0078059911,-0.166667
-0.0078039911,-0.166667
-0.0078019911,-0.166667
-0.0077999911,-0.166667
-0.0077979911,-0.166667
-0.0077959911,-0.166667
-0.0077939911,-0.166667
-0.0077919911,-0.166667
-0.0077899911,-0.166667
-0.0077879911,-0.166667
-0.0077859911,-0.166667
-0.0077839911,-0.166667
-0.0077819911,-0.166667
-0.0077799911,-0.166667
-0.0077779911,-0.166667
-0.0077759911,-0.166667
-0.0077739911,-0.166667
-0.0077719911,-0.166667
-0.0077699911,-0.166667
-0.0077679911,-0.166667
-0.0077659911,-0.166667
-0.0077639911,-0.166667
-0.0077619911,-0.166667
-0.0077599911,-0.166667
-0.0077579911,-0.166667
-0.0077559911,-0.166667
-0.0077539911,-0.166667
-0.0077519911,-0.166667
-0.0077499911,-0.166667
-0.0077479911,-0.166667
-0.0077459911,-0.166667
-0.0077439911,-0.166667
-0.0077419911,-0.166667
-0.0077399911,-0.166667
-0.0077379911,-0.166667
-0.0077359911,-0.166667
-0.0077339911,-0.166667
-0.0077319911,0.166667
-0.0077299911,-0.166667
-0.0077279911,-0.166667
-0.0077259911,-0.166667
-0.0077239911,-0.166667
-0.0077219911,-0.166667
-0.0077199911,-0.166667
-0.0077179911,-0.166667
-0.0077159911,-0.166667
-0.0077139911,-0.166667
-0.0077119911,-0.166667
-0.0077099911,-0.166667
-0.0077079911,-0.166667
-0.0077059911,-0.166667
-0.0077039911,-0.166667
-0.0077019911,-0.166667
-0.0076999911,-0.166667
-0.0076979911,-0.166667
-0.0076959911,-0.166667
-0.0076939911,-0.166667
-0.0076919911,-0.166667
-0.0076899911,-0.166667
-0.0076879911,-0.166667
-0.0076859911,-0.166667
-0.0076839911,-0.166667
-0.0076819911,-0.166667
-0.0076799911,-0.166667
-0.0076779911,-0.166667
-0.0076759911,-0.166667
-0.0076739911,-0.166667
-0.0076719911,-0.166667
-0.0076699911,-0.166667
-0.0076679911,-0.166667
-0.0076659911,-0.166667
-0.0076639911,-0.166667
-0.0076619911,-0.166667
-0.0076599911,-0.166667
-0.0076579911,-0.166667
-0.0076559911,-0.166667
-0.0076539911,-0.166667
-0.0076519911,-0.166667
-0.0076499911,-0.166667
-0.0076479911,-0.166667
-0.0076459911,-0.166667
-0.0076439911,-0.166667
-0.0076419911,-0.166667
-0.0076399911,-0.166667
-0.0076379911,-0.166667
-0.0076359911,-0.166667
-0.0076339911,-0.166667
-0.0076319911,-0.166667
-0.0076299911,-0.166667
-0.0076279911,-0.166667
-0.0076259911,-0.166667
-0.0076239911,-0.166667
-0.0076219911,-0.166667
-0.0076199911,-0.166667
-0.0076179911,-0.166667
-0.0076159911,-0.166667
-0.0076139911,-0.166667
-0.0076119911,-0.166667
-0.0076099911,-0.166667
-0.0076079911,-0.166667
-0.0076059911,-0.166667
-0.0076039911,-0.166667
-0.0076019911,-0.166667
-0.0075999911,-0.166667
-0.0075979911,-0.166667
-0.0075959911,-0.166667
-0.0075939911,-0.166667
-0.0075919911,-0.166667
-0.0075899911,-0.166667
-0.0075879911,-0.166667
-0.0075859911,-0.166667
-0.0075839911,-0.166667
-0.0075819911,-0.166667
-0.0075799911,-0.166667
-0.0075779911,-0.166667
-0.0075759911,-0.166667
-0.0075739911,-0.166667
-0.0075719911,-0.166667
-0.0075699911,-0.166667
-0.0075679911,-0.166667
-0.0075659911,-0.166667
-0.0075639911,-0.166667
-0.0075619911,-0.166667
-0.0075599911,-0.166667
-0.0075579911,-0.166667
-0.0075559911,-0.166667
-0.0075539911,-0.166667
-0.0075519911,-0.166667
-0.0075499911,-0.166667
-0.0075479911,-0.166667
-0.0075459911,-0.166667
-0.0075439911,-0.166667
-0.0075419911,-0.166667
-0.0075399911,-0.166667
-0.0075379911,-0.166667
-0.0075359911,-0.166667
-0.0075339911,-0.166667
-0.0075319911,-0.166667
-0.0075299911,-0.166667
-0.0075279911,-0.166667
-0.0075259911,-0.166667
-0.0075239911,-0.166667
-0.0075219911,-0.166667
-0.0075199911,-0.166667
-0.0075179911,-0.166667
-0.0075159911,-0.166667
-0.0075139911,-0.166667
-0.0075119911,-0.166667
-0.0075099911,-0.166667
-0.0075079911,-0.166667
-0.0075059911,-0.166667
-0.0075039911,-0.166667
-0.0075019911,-0.166667
-0.0074999911,-0.166667
-0.0074979911,-0.166667
-0.0074959911,-0.166667
-0.0074939911,-0.166667
-0.0074919911,-0.166667
-0.0074899911,-0.166667
-0.0074879911,-0.166667
-0.0074859911,-0.166667
-0.0074839911,-0.166667
-0.0074819911,-0.166667
-0.0074799911,-0.166667
-0.0074779911,-0.166667
-0.0074759911,-0.166667
-0.0074739911,-0.166667
-0.0074719911,-0.166667
-0.0074699911,-0.166667
-0.0074679911,-0.166667
-0.0074659911,-0.166667
-0.0074639911,-0.166667
-0.0074619911,-0.166667
-0.0074599911,0.166667
-0.0074579911,-0.166667
-0.0074559911,-0.166667
-0.0074539911,-0.166667
-0.0074519911,-0.166667
-0.0074499911,-0.166667
-0.0074479911,-0.166667
-0.0074459911,-0.166667
-0.0074439911,-0.166667
-0.0074419911,-0.166667
-0.0074399911,-0.166667
-0.0074379911,-0.166667
-0.0074359911,-0.166667
-0.0074339911,-0.166667
-0.0074319911,-0.166667
-0.0074299911,-0.166667
-0.0074279911,-0.166667
-0.0074259911,-0.166667
-0.0074239911,-0.166667
-0.0074219911,-0.166667
-0.0074199911,-0.166667
-0.0074179911,-0.166667
-0.0074159911,-0.166667
-0.0074139911,-0.166667
-0.0074119911,-0.166667
-0.0074099911,-0.166667
-0.0074079911,-0.166667
-0.0074059911,-0.166667
-0.0074039911,0.166667
-0.0074019911,-0.166667
-0.0073999911,-0.166667
-0.0073979911,-0.166667
-0.0073959911,-0.166667
-0.0073939911,-0.166667
-0.0073919911,-0.166667
-0.0073899911,-0.166667
-0.0073879911,-0.166667
-0.0073859911,-0.166667
-0.0073839911,-0.166667
-0.0073819911,-0.166667
-0.0073799911,-0.166667
-0.0073779911,-0.166667
-0.0073759911,-0.166667
-0.0073739911,-0.166667
-0.0073719911,-0.166667
-0.0073699911,-0.166667
-0.0073679911,-0.166667
-0.0073659911,-0.166667
-0.0073639911,-0.166667
-0.0073619911,-0.166667
-0.0073599911,-0.166667
-0.0073579911,-0.166667
-0.0073559911,-0.166667
-0.0073539911,-0.166667
-0.0073519911,-0.166667
-0.0073499911,-0.166667
-0.0073479911,-0.166667
-0.0073459911,-0.166667
-0.0073439911,-0.166667
-0.0073419911,-0.166667
-0.0073399911,-0.166667
-0.0073379911,-0.166667
-0.0073359911,-0.166667
-0.0073339911,-0.166667
