LECROYWS3024,16952,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,13-Mar-2020 17:39:49,0                 
Time,Ampl
-0.0021000201,-0.166667
-0.0020995201,-0.166667
-0.0020990201,-0.166667
-0.0020985201,-0.166667
-0.0020980201,-0.166667
-0.0020975201,-0.166667
-0.0020970201,-0.166667
-0.0020965201,-0.166667
-0.0020960201,-0.166667
-0.0020955201,-0.166667
-0.0020950201,-0.166667
-0.0020945201,-0.166667
-0.0020940201,-0.166667
-0.0020935201,-0.166667
-0.0020930201,-0.166667
-0.0020925201,-0.166667
-0.0020920201,-0.166667
-0.0020915201,-0.166667
-0.0020910201,-0.166667
-0.0020905201,-0.166667
-0.0020900201,-0.166667
-0.0020895201,-0.166667
-0.0020890201,-0.166667
-0.0020885201,-0.166667
-0.0020880201,-0.166667
-0.0020875201,-0.166667
-0.0020870201,-0.166667
-0.0020865201,-0.166667
-0.0020860201,-0.166667
-0.0020855201,-0.166667
-0.0020850201,-0.166667
-0.0020845201,-0.166667
-0.0020840201,-0.166667
-0.0020835201,-0.166667
-0.0020830201,-0.166667
-0.0020825201,-0.166667
-0.0020820201,-0.166667
-0.0020815201,-0.166667
-0.0020810201,-0.166667
-0.0020805201,-0.166667
-0.0020800201,-0.166667
-0.0020795201,-0.166667
-0.0020790201,-0.166667
-0.0020785201,-0.166667
-0.0020780201,-0.166667
-0.0020775201,-0.166667
-0.0020770201,-0.166667
-0.0020765201,-0.166667
-0.0020760201,-0.166667
-0.0020755201,-0.166667
-0.0020750201,-0.166667
-0.0020745201,-0.166667
-0.0020740201,-0.166667
-0.0020735201,-0.166667
-0.0020730201,-0.166667
-0.0020725201,-0.166667
-0.0020720201,-0.166667
-0.0020715201,-0.166667
-0.0020710201,-0.166667
-0.0020705201,-0.166667
-0.0020700201,-0.166667
-0.0020695201,-0.166667
-0.0020690201,-0.166667
-0.0020685201,-0.166667
-0.0020680201,-0.166667
-0.0020675201,-0.166667
-0.0020670201,-0.166667
-0.0020665201,-0.166667
-0.0020660201,-0.166667
-0.0020655201,-0.166667
-0.0020650201,-0.166667
-0.0020645201,-0.166667
-0.0020640201,-0.166667
-0.0020635201,-0.166667
-0.0020630201,-0.166667
-0.0020625201,-0.166667
-0.0020620201,-0.166667
-0.0020615201,-0.166667
-0.0020610201,-0.166667
-0.0020605201,-0.166667
-0.0020600201,-0.166667
-0.0020595201,-0.166667
-0.0020590201,-0.166667
-0.0020585201,-0.166667
-0.0020580201,-0.166667
-0.0020575201,-0.166667
-0.0020570201,-0.166667
-0.0020565201,-0.166667
-0.0020560201,-0.166667
-0.0020555201,-0.166667
-0.0020550201,-0.166667
-0.0020545201,-0.166667
-0.0020540201,-0.166667
-0.0020535201,-0.166667
-0.0020530201,-0.166667
-0.0020525201,-0.166667
-0.0020520201,-0.166667
-0.0020515201,-0.166667
-0.0020510201,-0.166667
-0.0020505201,-0.166667
-0.0020500201,-0.166667
-0.0020495201,-0.166667
-0.0020490201,-0.166667
-0.0020485201,-0.166667
-0.0020480201,-0.166667
-0.0020475201,-0.166667
-0.0020470201,-0.166667
-0.0020465201,-0.166667
-0.0020460201,-0.166667
-0.0020455201,-0.166667
-0.0020450201,-0.166667
-0.0020445201,-0.166667
-0.0020440201,-0.166667
-0.0020435201,-0.166667
-0.0020430201,-0.166667
-0.0020425201,-0.166667
-0.0020420201,-0.166667
-0.0020415201,-0.166667
-0.0020410201,-0.166667
-0.0020405201,-0.166667
-0.0020400201,-0.166667
-0.0020395201,-0.166667
-0.0020390201,-0.166667
-0.0020385201,-0.166667
-0.0020380201,-0.166667
-0.0020375201,-0.166667
-0.0020370201,-0.166667
-0.0020365201,-0.166667
-0.0020360201,-0.166667
-0.0020355201,-0.166667
-0.0020350201,-0.166667
-0.0020345201,-0.166667
-0.0020340201,-0.166667
-0.0020335201,-0.166667
-0.0020330201,-0.166667
-0.0020325201,-0.166667
-0.0020320201,-0.166667
-0.0020315201,-0.166667
-0.0020310201,-0.166667
-0.0020305201,-0.166667
-0.0020300201,-0.166667
-0.0020295201,-0.166667
-0.0020290201,-0.166667
-0.0020285201,-0.166667
-0.0020280201,-0.166667
-0.0020275201,-0.166667
-0.0020270201,-0.166667
-0.0020265201,-0.166667
-0.0020260201,-0.166667
-0.0020255201,-0.166667
-0.0020250201,-0.166667
-0.0020245201,-0.166667
-0.0020240201,-0.166667
-0.0020235201,-0.166667
-0.0020230201,-0.166667
-0.0020225201,-0.166667
-0.0020220201,-0.166667
-0.0020215201,-0.166667
-0.0020210201,-0.166667
-0.0020205201,-0.166667
-0.0020200201,-0.166667
-0.0020195201,-0.166667
-0.0020190201,-0.166667
-0.0020185201,-0.166667
-0.0020180201,-0.166667
-0.0020175201,-0.166667
-0.0020170201,-0.166667
-0.0020165201,-0.166667
-0.0020160201,-0.166667
-0.0020155201,-0.166667
-0.0020150201,-0.166667
-0.0020145201,-0.166667
-0.0020140201,-0.166667
-0.0020135201,-0.166667
-0.0020130201,-0.166667
-0.0020125201,-0.166667
-0.0020120201,-0.166667
-0.0020115201,-0.166667
-0.0020110201,-0.166667
-0.0020105201,-0.166667
-0.0020100201,-0.166667
-0.0020095201,-0.166667
-0.0020090201,-0.166667
-0.0020085201,-0.166667
-0.0020080201,-0.166667
-0.0020075201,-0.166667
-0.0020070201,-0.166667
-0.0020065201,-0.166667
-0.0020060201,-0.166667
-0.0020055201,-0.166667
-0.0020050201,-0.166667
-0.0020045201,-0.166667
-0.0020040201,-0.166667
-0.0020035201,-0.166667
-0.0020030201,-0.166667
-0.0020025201,0.166667
-0.0020020201,-0.166667
-0.0020015201,-0.166667
-0.0020010201,-0.166667
-0.0020005201,-0.166667
-0.0020000201,-0.166667
-0.0019995201,-0.166667
-0.0019990201,-0.166667
-0.0019985201,-0.166667
-0.0019980201,-0.166667
-0.0019975201,-0.166667
-0.0019970201,-0.166667
-0.0019965201,-0.166667
-0.0019960201,-0.166667
-0.0019955201,-0.166667
-0.0019950201,-0.166667
-0.0019945201,-0.166667
-0.0019940201,-0.166667
-0.0019935201,-0.166667
-0.0019930201,-0.166667
-0.0019925201,-0.166667
-0.0019920201,-0.166667
-0.0019915201,-0.166667
-0.0019910201,-0.166667
-0.0019905201,-0.166667
-0.0019900201,-0.166667
-0.0019895201,-0.166667
-0.0019890201,-0.166667
-0.0019885201,-0.166667
-0.0019880201,-0.166667
-0.0019875201,-0.166667
-0.0019870201,-0.166667
-0.0019865201,-0.166667
-0.0019860201,-0.166667
-0.0019855201,-0.166667
-0.0019850201,-0.166667
-0.0019845201,-0.166667
-0.0019840201,-0.166667
-0.0019835201,-0.166667
-0.0019830201,-0.166667
-0.0019825201,-0.166667
-0.0019820201,-0.166667
-0.0019815201,-0.166667
-0.0019810201,-0.166667
-0.0019805201,-0.166667
-0.0019800201,-0.166667
-0.0019795201,-0.166667
-0.0019790201,-0.166667
-0.0019785201,-0.166667
-0.0019780201,-0.166667
-0.0019775201,-0.166667
-0.0019770201,-0.166667
-0.0019765201,-0.166667
-0.0019760201,-0.166667
-0.0019755201,-0.166667
-0.0019750201,-0.166667
-0.0019745201,-0.166667
-0.0019740201,-0.166667
-0.0019735201,-0.166667
-0.0019730201,-0.166667
-0.0019725201,-0.166667
-0.0019720201,-0.166667
-0.0019715201,-0.166667
-0.0019710201,-0.166667
-0.0019705201,-0.166667
-0.0019700201,-0.166667
-0.0019695201,-0.166667
-0.0019690201,-0.166667
-0.0019685201,-0.166667
-0.0019680201,-0.166667
