2	0,090190476
4	0,242904762
6	0,287619048
8	0,379920635
10	0,443095238
12	0,532380952
14	0,600396825
16	0,676714286
18	0,735873016
20	0,842666667
22	0,872095238
24	0,941904762
26	1,013222222
28	1,217063492
30	1,338047619
32	1,323333333
34	1,26631746
36	1,44615873
38	1,600603175
40	1,617746032
42	1,570190476
44	1,677428571
46	1,724888889
48	1,73915873
50	1,671063492
52	1,879365079
54	1,961380952
56	1,966507937
58	1,928412698
60	2,227698413
62	2,268571429
64	2,170984127
66	2,473412698
68	2,617063492
70	2,63015873
72	2,574206349
74	2,806349206
76	2,790873016
78	2,721428571
